Date;Euro
30/07/2022 14:00:00;€ € 230,37
30/07/2022 13:00:00;€ € 205,61
30/07/2022 12:00:00;€ € 278,75
30/07/2022 11:00:00;€ € 303,97
30/07/2022 10:00:00;€ € 303,37
30/07/2022 9:00:00;€ € 384,27
30/07/2022 8:00:00;€ € 412,72
30/07/2022 7:00:00;€ € 423,02
30/07/2022 6:00:00;€ € 406,78
30/07/2022 5:00:00;€ € 383,98
30/07/2022 4:00:00;€ € 377,06
30/07/2022 3:00:00;€ € 395,85
30/07/2022 2:00:00;€ € 405,00
30/07/2022 1:00:00;€ € 404,30
30/07/2022 0:00:00;€ € 425,00
29/07/2022 23:00:00;€ € 329,98
29/07/2022 22:00:00;€ € 434,24
29/07/2022 21:00:00;€ € 456,47
29/07/2022 20:00:00;€ € 504,68
29/07/2022 19:00:00;€ € 436,60
29/07/2022 18:00:00;€ € 449,68
29/07/2022 17:00:00;€ € 412,35
29/07/2022 16:00:00;€ € 290,72
29/07/2022 15:00:00;€ € 330,00
29/07/2022 14:00:00;€ € 322,00
29/07/2022 13:00:00;€ € 334,36
29/07/2022 12:00:00;€ € 208,01
29/07/2022 11:00:00;€ € 320,23
29/07/2022 10:00:00;€ € 389,17
29/07/2022 9:00:00;€ € 456,03
29/07/2022 8:00:00;€ € 498,72
